text,label
子連れだと、気になること等色々あるのですが、みんな楽しく過ごせました。,p
ちょっと接客慣れしていない感じの方が２人ほど対応してくださっていましたが、他にチェックインなどのお客様がいなかったら、他のスタッフの方も横で見てないでフォローしてあげればいいのに、と思いました。,k
お得なプランで満足です。,p
また隣接するショッピングモールで買い物をすると観覧車が無料になるとネットで見たのであの広いモール内を端から端まで歩いて行ったところ、出口でやっと月曜日の休日の替わりに代休との表示が！,k
バスルームにも違いがあり、今回は浴槽の水深が深いタイプで、肩までどっぷり漬かれました。,p
露天風呂もあるし、部屋にも小さいですが風呂が付いていて、ドライヤーもあって、女性でも満足できるホテルだと思います。,p
立地は渋谷駅から約3分ととても便利でした。,p
ベッドが広々していて寝心地がとても良かったです！,p
新築だけにとてもきれいです。,p
初めて利用しました値段、眺め、朝食に満足ですまた利用させていただくと思います,p
ただ、ちょっとせまいかな。。。,k
チェックインの際のフロントの方の対応も丁寧で気持ちよかったですが、楽天カードで支払い済みだったのに請求されてしまいました。,k
街中にあるのですが、隣が勾当台公園という事もあり、周辺は大変静かな場所でした。,p
まず、お部屋が広くて、うれしかったです。,p
全室制覇してみたいなあと感じました。,e
会社に近いことと価格がリーズナブル、雰囲気が深いことが選択理由です。,p
駅前のわかりやすい場所にあり、後楽園などの観光名所への距離も近いため非常に便利ですし、近所に飲食店も多いので大変魅力的ですね〜。,p
博多駅、コンビニ、レストラン街に近く、部屋もきれいで、夜は屋台も少しありました。,p
行く途中には富士山がきれいに見えたし、道もわかりやすかったです。,p
また食事も美味しく、焼きたてのパンを何度もおかわりしてしまったほどです。,p
壁が薄いのかと思ってましたが、回りの声や音も特に聞こえませんでした。,p
そのような方を交えたほうが、更に対応が重厚に感じるかと思います。,y
遅い時間のチェックインでしたが、フロントの方は対応が良く好感が持てます。,p
ご飯も自分たちのところには、茶碗に軽く盛った物だけを出し、隣のテーブルを見ると御ひつが置いてあり、なんと言う対応かと？,k
朝食も美味しく、対応して頂いたおばさんも親切な方で嬉しかった。,p
いいと思いますまた利用する〜＾＾,p
お部屋も綺麗で、オーシャンビューがとても気持ちよかったです朝食のバイキングのみ利用しましたが、目の前で焼いてもらえるオムレツが美味しかった！,p
いつも快適に過ごさせてもらってます。,p
仕方なかったのですが、フロントの対応に謝罪がなくがっかり。,k
ただ変な時間にいた私が悪いと思うのですが、掃除機の音がうるさくて仮眠ができなかったのが残念でした。,k
部屋に空気清浄機を。,y
朝食だけなら値段の安いホテルもありましたが、パンとサラダみたいなものばかりだったので本当に助かりました。,p
楽しみにしてきたのに、残念です。,k
立地は快速が止まらないのが不便ですが、まあまあ良いです。,e
ホテルライフを楽しもうという方には向かないと思いますが、このお値段で、この便利さ,e
自宅から車で２時間もかからない距離なので本当は宿泊する必要はないのですが、たまには気分転換に来るのもいいと思います。,p
施設をそのまま買い取ったからこそ、安い宿泊料金だと思っていますが、施設の老朽化、汚れなども目立つと思います（部屋のカーペット、廊下の壁など）。,k
お部屋の雰囲気、清潔さ、どれも満足しています。,p
パン、ヨーグルト、はちみつ、ジャム、、◎。,p
部屋も値段の割りに広く、部屋の冷蔵庫の缶ビールとミネラルウォーターのサービスが有難かったです。,p
長野駅の目の前ですぐに分かり、建物も立派でした。,p
カプセルは清潔で広く、TVも必要に応じて見られるし快適でした。,p
食事を楽しむ時間が１０分、店に入って食べるまで２５分も掛かってました。,k
２歳半の子供も一緒に布団無しで予約しましたが、バスタオルやスリッパなどは子供の分が無くて後から持ってきてもらい、ちょっと不便でした。,k
行くたびに部屋、食事がすごく楽しみになっています。,p
清潔感のあるお部屋で、ロフトは子供がとても喜び楽しそうでした☆,p
普段ならテレビを観たりせっかく旅行に来ても普段と変わらないことをしがちでしたが静かな雪山のログハウスでオレンジのやさしい灯りの中１０年以上ぶりにオセロをしたり本を読んだりのんびり過ごせて今までにないゆったりと時間が流れる癒しの旅となりましたありがとうございました,p
食事は、名の知れたレストランのコースより断然美味しいです。,p
朝食は、時間が遅かったため、ヨーグルトが食べられなかったのが残念です。,k
熊本に来られる方に勧めていますが、皆リピーターになってます。,p
お勧め出来るホテルです。,p
